expt,cond,rep,time (h),pixelRange,X0,shift (μm),redPixelRange,greenPixelRange,redX0,greenX0,RFP shift (μm),GFP shift (μm),[Ampicillin] (mg/mL),[Kanamycin] (mg/mL),position (μm)
250standalone_kanGrad,1x,2,6,116-140,383.93133240098996,55.83234219889164,,116-140,,383.93133240098996,,55.83234219889164,,0.05,
250standalone_kanGrad,1x,2,8,116-140,401.1727499498349,73.07375974773657,,116-140,,401.1727499498349,,73.07375974773657,,0.05,
250standalone_kanGrad,1x,2,10,116-140,417.95592182900344,89.85693162690512,,116-140,,417.95592182900344,,89.85693162690512,,0.05,
250standalone_kanGrad,1x,3,0,116-140,322.7071322531401,0.0,,116-140,,322.7071322531401,,0.0,,0.05,
250standalone_kanGrad,1x,3,2,116-140,335.82827193500714,13.121139681867021,,116-140,,335.82827193500714,,13.121139681867021,,0.05,
250standalone_kanGrad,1x,3,4,116-140,357.25288605071665,34.54575379757654,,116-140,,357.25288605071665,,34.54575379757654,,0.05,
250standalone_kanGrad,1x,3,6,116-140,375.0669267151908,52.35979446205067,,116-140,,375.0669267151908,,52.35979446205067,,0.05,
250standalone_kanGrad,1x,3,8,116-140,391.51268424254926,68.80555198940914,,116-140,,391.51268424254926,,68.80555198940914,,0.05,
250standalone_kanGrad,1x,3,10,116-140,412.98017490625557,90.27304265311545,,116-140,,412.98017490625557,,90.27304265311545,,0.05,
250standalone_kanGrad,3x,1,0,116-140,316.40294067341773,0.0,,116-140,,316.40294067341773,,0.0,,0.15811388300841897,
250standalone_kanGrad,3x,1,2,116-140,326.33939004411565,9.936449370697915,,116-140,,326.33939004411565,,9.936449370697915,,0.15811388300841897,
250standalone_kanGrad,3x,1,4,116-140,328.4830721082118,12.080131434794055,,116-140,,328.4830721082118,,12.080131434794055,,0.15811388300841897,
250standalone_kanGrad,3x,1,6,116-140,328.8390059783699,12.436065304952194,,116-140,,328.8390059783699,,12.436065304952194,,0.15811388300841897,
250standalone_kanGrad,3x,1,8,116-140,327.5692690331316,11.166328359713873,,116-140,,327.5692690331316,,11.166328359713873,,0.15811388300841897,
250standalone_kanGrad,3x,1,10,116-140,327.62105274131136,11.218112067893628,,116-140,,327.62105274131136,,11.218112067893628,,0.15811388300841897,
250standalone_kanGrad,3x,2,0,116-140,319.39003790697393,0.0,,116-140,,319.39003790697393,,0.0,,0.15811388300841897,
250standalone_kanGrad,3x,2,2,116-140,329.8579347693731,10.467896862399186,,116-140,,329.8579347693731,,10.467896862399186,,0.15811388300841897,
250standalone_kanGrad,3x,2,4,116-140,331.187241648688,11.797203741714043,,116-140,,331.187241648688,,11.797203741714043,,0.15811388300841897,
250standalone_kanGrad,3x,2,6,116-140,331.64571247502863,12.255674568054701,,116-140,,331.64571247502863,,12.255674568054701,,0.15811388300841897,
250standalone_kanGrad,3x,2,8,116-140,330.49177442228034,11.101736515306413,,116-140,,330.49177442228034,,11.101736515306413,,0.15811388300841897,
250standalone_kanGrad,3x,2,10,116-140,329.79699711413355,10.406959207159616,,116-140,,329.79699711413355,,10.406959207159616,,0.15811388300841897,
250standalone_kanGrad,3x,3,0,116-140,313.0935470992801,0.0,,116-140,,313.0935470992801,,0.0,,0.15811388300841897,
250standalone_kanGrad,3x,3,2,116-140,323.1565157086078,10.062968609327697,,116-140,,323.1565157086078,,10.062968609327697,,0.15811388300841897,
250standalone_kanGrad,3x,3,4,116-140,324.1263600958648,11.03281299658471,,116-140,,324.1263600958648,,11.03281299658471,,0.15811388300841897,
250standalone_kanGrad,3x,3,6,116-140,323.74475130279177,10.651204203511668,,116-140,,323.74475130279177,,10.651204203511668,,0.15811388300841897,
250standalone_kanGrad,3x,3,8,116-140,322.1538529320589,9.060305832778795,,116-140,,322.1538529320589,,9.060305832778795,,0.15811388300841897,
250standalone_kanGrad,3x,3,10,116-140,320.9291628242895,7.835615725009404,,116-140,,320.9291628242895,,7.835615725009404,,0.15811388300841897,
250standalone_kanGrad,10x,1,0,116-140,288.87549833811653,0.0,,116-140,,288.87549833811653,,0.0,,0.5,
250standalone_kanGrad,10x,1,2,116-140,293.9189541822948,5.043455844178254,,116-140,,293.9189541822948,,5.043455844178254,,0.5,
250standalone_kanGrad,10x,1,4,116-140,293.78250727307307,4.9070089349565365,,116-140,,293.78250727307307,,4.9070089349565365,,0.5,
250standalone_kanGrad,10x,1,6,116-140,293.90002515557654,5.024526817460014,,116-140,,293.90002515557654,,5.024526817460014,,0.5,
250standalone_kanGrad,10x,1,8,116-140,294.2049323311633,5.329433993046791,,116-140,,294.2049323311633,,5.329433993046791,,0.5,
250standalone_kanGrad,10x,1,10,116-140,294.7049355954823,5.829437257365782,,116-140,,294.7049355954823,,5.829437257365782,,0.5,
250standalone_kanGrad,10x,2,0,116-140,275.70050755903395,0.0,,116-140,,275.70050755903395,,0.0,,0.5,
250standalone_kanGrad,10x,2,2,116-140,280.16485697069254,4.4643494116585885,,116-140,,280.16485697069254,,4.4643494116585885,,0.5,
250standalone_kanGrad,10x,2,4,116-140,279.7127254294977,4.012217870463758,,116-140,,279.7127254294977,,4.012217870463758,,0.5,
250standalone_kanGrad,10x,2,6,116-140,280.02745866226155,4.3269511032276,,116-140,,280.02745866226155,,4.3269511032276,,0.5,
250standalone_kanGrad,10x,2,8,116-140,280.7966020632547,5.09609450422073,,116-140,,280.7966020632547,,5.09609450422073,,0.5,
250standalone_kanGrad,10x,2,10,116-140,281.33117186848193,5.63066430944798,,116-140,,281.33117186848193,,5.63066430944798,,0.5,
250standalone_kanGrad,10x,3,0,116-140,279.1038227291104,0.0,,116-140,,279.1038227291104,,0.0,,0.5,
250standalone_kanGrad,10x,3,2,116-140,283.48727628553496,4.38345355642457,,116-140,,283.48727628553496,,4.38345355642457,,0.5,
250standalone_kanGrad,10x,3,4,116-140,284.04926232912845,4.945439600018062,,116-140,,284.04926232912845,,4.945439600018062,,0.5,
250standalone_kanGrad,10x,3,6,116-140,284.65382573087845,5.5500030017680615,,116-140,,284.65382573087845,,5.5500030017680615,,0.5,
250standalone_kanGrad,10x,3,8,116-140,285.38134063998854,6.277517910878146,,116-140,,285.38134063998854,,6.277517910878146,,0.5,
250standalone_kanGrad,10x,3,10,116-140,285.3750391053263,6.271216376215932,,116-140,,285.3750391053263,,6.271216376215932,,0.5,
250standalone_kanGrad,30x,1,0,116-140,286.69061426500804,0.0,,116-140,,286.69061426500804,,0.0,,1.5811388300841898,
250standalone_kanGrad,30x,1,2,116-140,291.2531047353619,4.5624904703538505,,116-140,,291.2531047353619,,4.5624904703538505,,1.5811388300841898,
250standalone_kanGrad,30x,1,4,116-140,290.4550566055571,3.764442340549067,,116-140,,290.4550566055571,,3.764442340549067,,1.5811388300841898,
250standalone_kanGrad,30x,1,6,116-140,290.5242419903014,3.833627725293354,,116-140,,290.5242419903014,,3.833627725293354,,1.5811388300841898,
250standalone_kanGrad,30x,1,8,116-140,290.95135843731214,4.260744172304101,,116-140,,290.95135843731214,,4.260744172304101,,1.5811388300841898,
250standalone_kanGrad,30x,1,10,116-140,291.0192704989453,4.328656233937238,,116-140,,291.0192704989453,,4.328656233937238,,1.5811388300841898,
250standalone_kanGrad,30x,2,0,116-140,300.4096441735847,0.0,,116-140,,300.4096441735847,,0.0,,1.5811388300841898,
250standalone_kanGrad,30x,2,2,116-140,304.2711453300403,3.861501156455631,,116-140,,304.2711453300403,,3.861501156455631,,1.5811388300841898,
250standalone_kanGrad,30x,2,4,116-140,304.0228049092846,3.613160735699921,,116-140,,304.0228049092846,,3.613160735699921,,1.5811388300841898,
250standalone_kanGrad,30x,2,6,116-140,304.3906684557581,3.9810242821733937,,116-140,,304.3906684557581,,3.9810242821733937,,1.5811388300841898,
250standalone_kanGrad,30x,2,8,116-140,305.2320512411636,4.822407067578922,,116-140,,305.2320512411636,,4.822407067578922,,1.5811388300841898,
250standalone_kanGrad,30x,2,10,116-140,304.80808841810546,4.3984442445207605,,116-140,,304.80808841810546,,4.3984442445207605,,1.5811388300841898,
250standalone_kanGrad,30x,3,0,116-140,294.35890356958794,0.0,,116-140,,294.35890356958794,,0.0,,1.5811388300841898,
250standalone_kanGrad,30x,3,2,116-140,298.1555140378029,3.796610468214965,,116-140,,298.1555140378029,,3.796610468214965,,1.5811388300841898,
250standalone_kanGrad,30x,3,4,116-140,297.5813379700726,3.2224344004846444,,116-140,,297.5813379700726,,3.2224344004846444,,1.5811388300841898,
250standalone_kanGrad,30x,3,6,116-140,297.4936369500667,3.1347333804787354,,116-140,,297.4936369500667,,3.1347333804787354,,1.5811388300841898,
250standalone_kanGrad,30x,3,8,116-140,297.933188458487,3.574284888899058,,116-140,,297.933188458487,,3.574284888899058,,1.5811388300841898,
250standalone_kanGrad,30x,3,10,116-140,297.95612006847983,3.597216498891896,,116-140,,297.95612006847983,,3.597216498891896,,1.5811388300841898,
250standalone_kanGrad,100x,1,0,116-140,280.1225720778082,0.0,,116-140,,280.1225720778082,,0.0,,5.0,
250standalone_kanGrad,100x,1,2,116-140,281.03294298452374,0.9103709067155705,,116-140,,281.03294298452374,,0.9103709067155705,,5.0,
250standalone_kanGrad,100x,1,4,116-140,282.1608331366454,2.038261058837236,,116-140,,282.1608331366454,,2.038261058837236,,5.0,
